iter	Passed	Remaining
0	175	52352
1	297	44309
2	418	41401
3	571	42288
4	730	43127
5	942	46171
6	1134	47479
7	1320	48214
8	1539	49772
9	1704	49426
10	1864	48983
11	2053	49279
12	2244	49560
13	2379	48607
14	2507	47647
15	2614	46404
16	2755	45879
17	2891	45304
18	3065	45337
19	3270	45785
20	3442	45733
21	3561	45007
22	3680	44323
23	3820	43937
24	3921	43138
25	4046	42643
26	4191	42384
27	4313	41901
28	4446	41554
29	4582	41238
30	4707	40849
31	4837	40514
32	4960	40134
33	5086	39794
34	5213	39473
35	5334	39116
36	5469	38878
37	5601	38620
38	5754	38513
39	5880	38226
40	5980	37779
41	6123	37613
42	6255	37388
43	6380	37123
44	6518	36938
45	6662	36787
46	6799	36600
47	6924	36353
48	7041	36070
49	7154	35770
50	7270	35496
51	7393	35259
52	7511	35005
53	7627	34746
54	7754	34544
55	7883	34348
56	8007	34137
57	8143	33978
58	8266	33767
59	8396	33585
60	8514	33361
61	8654	33220
62	8788	33062
63	8912	32865
64	9057	32746
65	9186	32568
66	9303	32354
67	9455	32259
68	9612	32179
69	9768	32094
70	9901	31937
71	10027	31753
72	10150	31564
73	10285	31413
74	10375	31127
75	10495	30934
76	10619	30754
77	10751	30599
78	10867	30400
79	11016	30296
80	11145	30133
81	11253	29917
82	11377	29746
83	11536	29664
84	11672	29525
85	11807	29382
86	11943	29241
87	12100	29150
88	12212	28952
89	12310	28725
90	12412	28508
91	12510	28284
92	12636	28127
93	12747	27935
94	12843	27715
95	12951	27521
96	13078	27370
97	13195	27199
98	13302	27008
99	13427	26855
100	13542	26683
101	13661	26519
102	13794	26382
103	13909	26214
104	14080	26150
105	14178	25949
106	14285	25767
107	14427	25649
108	14564	25520
109	14689	25372
110	14805	25210
111	14914	25034
112	15088	24968
113	15180	24767
114	15308	24627
115	15421	24462
116	15543	24311
117	15666	24164
118	15771	23988
119	15881	23822
120	15979	23639
121	16077	23457
122	16186	23292
123	16279	23105
124	16380	22932
125	16512	22803
126	16634	22659
127	16741	22496
128	16846	22330
129	16982	22208
130	17089	22047
131	17207	21900
132	17328	21758
133	17444	21610
134	17609	21522
135	17717	21364
136	17848	21235
137	17969	21094
138	18081	20943
139	18213	20815
140	18319	20657
141	18442	20520
142	18583	20402
143	18712	20272
144	18816	20114
145	18942	19979
146	19108	19888
147	19249	19769
148	19386	19646
149	19504	19504
150	19661	19400
151	19767	19247
152	19887	19107
153	19997	18958
154	20144	18844
155	20256	18697
156	20355	18540
157	20473	18400
158	20585	18255
159	20699	18111
160	20817	17972
161	20964	17858
162	21074	17712
163	21190	17572
164	21294	17422
165	21406	17280
166	21518	17137
167	21629	16994
168	21751	16861
169	21875	16728
170	22016	16609
171	22139	16476
172	22256	16338
173	22368	16197
174	22485	16061
175	22617	15934
176	22742	15804
177	22874	15677
178	22997	15545
179	23125	15416
180	23246	15283
181	23369	15151
182	23497	15022
183	23606	14882
184	23730	14751
185	23858	14622
186	23993	14498
187	24115	14366
188	24227	14228
189	24341	14092
190	24461	13959
191	24580	13826
192	24706	13697
193	24813	13558
194	24936	13427
195	25034	13283
196	25163	13156
197	25282	13024
198	25411	12897
199	25521	12760
200	25638	12627
201	25744	12490
202	25860	12357
203	25968	12220
204	26104	12097
205	26238	11972
206	26348	11837
207	26444	11696
208	26569	11568
209	26692	11439
210	26803	11305
211	26919	11174
212	27035	11042
213	27157	10913
214	27275	10783
215	27401	10656
216	27513	10523
217	27636	10395
218	27744	10261
219	27851	10127
220	27962	9995
221	28069	9862
222	28209	9740
223	28355	9620
224	28489	9496
225	28615	9369
226	28726	9237
227	28845	9109
228	28938	8972
229	29066	8846
230	29173	8714
231	29302	8588
232	29440	8465
233	29572	8341
234	29702	8215
235	29816	8085
236	29936	7957
237	30040	7825
238	30144	7693
239	30248	7562
240	30351	7430
241	30456	7299
242	30594	7176
243	30734	7053
244	30880	6932
245	31020	6809
246	31153	6684
247	31289	6560
248	31434	6438
249	31576	6315
250	31711	6190
251	31917	6079
252	32047	5953
253	32159	5824
254	32309	5701
255	32421	5572
256	32561	5448
257	32669	5318
258	32853	5200
259	33007	5078
260	33148	4953
261	33275	4826
262	33390	4697
263	33500	4568
264	33614	4439
265	33754	4314
266	33863	4185
267	33976	4056
268	34104	3930
269	34249	3805
270	34389	3680
271	34534	3555
272	34679	3429
273	34823	3304
274	34951	3177
275	35074	3049
276	35200	2922
277	35308	2794
278	35441	2667
279	35548	2539
280	35680	2412
281	35814	2286
282	35921	2157
283	36025	2029
284	36147	1902
285	36278	1775
286	36403	1648
287	36539	1522
288	36646	1394
289	36760	1267
290	36888	1140
291	37005	1013
292	37138	887
293	37279	760
294	37399	633
295	37586	507
296	37721	381
297	37871	254
298	37998	127
299	38139	0
