policy_idx,tau_replace,safety_stock,order_qty,expected_profit,cvar_profit,expected_profit_ci_low,expected_profit_ci_high,cvar_profit_ci_low,cvar_profit_ci_high,std_profit,se_expected_profit,se_cvar_profit,p5_profit,p50_profit,p95_profit,n_samples,robust_score
0,0.41331845611703827,3.550685920763024,28.25615191359121,43420.758781917415,41528.783345902586,43334.59432907692,43483.72917600862,40831.41519859232,42067.96474911181,666.3195021735714,38.469974394620884,316.1176918262388,42335.5661269575,43516.30257509643,44206.210532203375,300,84166.00952766924
1,0.5857515957466711,0.6069888904538554,39.22013900397459,43352.98830030163,42138.02359094382,43294.779701322535,43412.406311952305,41955.946550445704,42371.19293205348,531.8631735703085,30.707134643286622,106.00946258658152,42444.52986164621,43366.87610066571,44212.00220571175,300,85250.72625176824
2,0.44101293352999804,0.8080927144906052,30.572904255898294,43402.5585180577,42125.94926608714,43342.09588078581,43460.085029477865,41880.47236768181,42335.19450957615,564.0272802184163,32.56413020643951,117.63787472938012,42448.584581732925,43462.94024318633,44265.77165892464,300,85222.56824846762
3,0.5521349593481994,6.196551734402121,50.549995487985605,43363.86175623501,41995.773186229824,43296.96818881786,43430.068073339375,41687.90341222431,42272.005725049596,542.0552851571689,31.295576480115077,153.57508397322212,42394.52362233518,43431.14062955365,44158.95483737408,300,84984.87160104216
4,0.5179945961348519,5.111493483481166,33.41537860482549,43365.07303396788,42212.45710512875,43295.36579975927,43418.750072729286,41961.46033413586,42416.62453930171,522.0506034436842,30.14060564288176,117.24958727371263,42464.954874934076,43404.87730754492,44110.73380100301,300,85256.82613389513
5,0.4558537902488982,3.5379641946501135,28.08944755636803,43422.34220769907,41899.1031809093,43349.10507921266,43481.475684669036,41505.194180891696,42302.86605587255,561.8094561799663,32.43608407587808,201.7618029998765,42484.88362943662,43496.571150881384,44183.51069875929,300,84854.29926010437
6,0.38735978747848365,0.8496011447509053,28.558582870924244,43431.50526807818,42303.33035981685,43373.627545868796,43488.68535700877,42099.2781678391,42519.68543822922,491.23908372834046,28.361701722702243,110.95451812526774,42614.32651410509,43453.102107848405,44168.419399397855,300,85472.90571370789
7,0.4629486851554707,3.357970281975784,32.40266120627837,43389.156603515105,42042.0607147051,43331.71670125156,43440.4470539132,41871.33443574662,42307.780782938986,550.0424593800802,31.756716198881307,107.33304064771451,42453.6951297442,43400.634009681395,44190.40957492547,300,85203.05113699817
8,0.4402612967035068,0.45912318609440295,32.21987269133532,43387.705294517684,42004.847202966346,43319.93706542561,43447.46647571967,41718.41234953536,42242.949219480644,563.7453853791982,32.547855000308935,137.22146462603956,42387.67263073732,43471.29958369018,44114.99274720288,300,85038.34941496098
9,0.3377392717062449,3.9474102555494697,38.46066719550355,43399.029167485955,42079.34492117282,43344.05680651177,43458.61092971806,41862.34132953563,42318.04273454856,523.2317878411571,30.20880135586612,118.36118191705496,42386.99096548334,43433.40616678157,44157.40311375902,300,85206.3981360474
10,0.39028351914248305,7.17840783771444,28.612676091059242,43372.543833646734,41287.46521498244,43293.06878188161,43447.69184555736,40379.776046217514,41908.01364218454,718.6595301065893,41.491827316272925,384.77256483820383,42248.85184068667,43470.530608846966,44182.52524478616,300,83672.84482809913
11,0.38319699328747997,5.534529369844872,43.85145031594321,43434.90509541899,42288.49007379999,43385.006702646766,43495.121947511536,42023.99289895234,42523.01691401768,498.0508991884753,28.754982071660134,122.86909862944307,42599.37356441144,43446.826714858274,44215.24271207016,300,85408.9996015991
12,0.4558537902488982,3.5379641946501135,28.172772005755732,43407.10829893071,42106.89631764931,43337.01202968878,43467.86274142925,41915.386649039836,42333.29098165777,539.0170850472429,31.120165914983303,111.50287488166126,42432.6436340413,43489.64136473504,44160.78474158189,300,85252.39867872861
13,0.3538542114594219,4.48883202544322,31.38103768203192,43460.87424385502,42364.91150959451,43406.44854326315,43514.91400343797,42227.518010113316,42526.49847402073,484.45206699228095,27.9698531287464,79.39164524588048,42600.75956029609,43507.66880582612,44175.005008298445,300,85633.96655337646
14,0.451209421866678,1.543980722548412,33.17663415344165,43439.24259621764,42260.00206556546,43372.79346950043,43499.164979061796,42012.77179305565,42441.23131515785,511.78271838208184,29.547789022449336,108.55051375997739,42631.45144049815,43516.157642918704,44129.63857193357,300,85385.56526255608
15,0.3318510688034086,6.164311224812756,33.34907411019066,43438.760355468985,42337.03717354112,43387.017287125374,43489.879824739764,42131.91566915205,42535.34741916329,470.16289256498925,27.144867258536962,105.59992778963769,42649.01292153453,43475.499155734804,44108.250105511535,300,85518.93295627742
16,0.44488014409069737,2.655381543730985,37.11145666907132,43439.011840247585,42196.705238695926,43379.73271409951,43500.11503636624,42009.811440345344,42430.32177401725,519.9638600367508,30.020127456109496,107.00389393502805,42524.75926191097,43487.89167466096,44222.074548520606,300,85389.54415444485
17,0.45012000262432394,2.922333796688448,33.10129319436733,43404.728667388554,41963.690655763676,43341.93971828833,43468.36286294124,41455.01328854883,42439.26445896432,555.6878641182425,32.082653793407545,257.2018944406912,42631.13003109476,43461.37945264515,44151.53804572956,300,84796.95300683717
