expected_profit,cvar_profit,nsga2_rank
43537.04808957701,42753.21752427564,0
43527.35120464283,42557.354632701274,1
43530.58041794285,42113.14709100451,1
43505.77863138314,42722.90142964309,1
43513.04350544772,42474.02557919771,2
43519.82606191784,42441.98117766524,2
43488.98013499545,42652.97822398608,2
43471.18278680362,42695.67122757659,2
43492.56237915165,42184.80576731425,3
43507.66439769317,42184.24654461324,3
43519.58739122891,42175.489388705355,3
43489.538347008405,42271.43176746453,3
43473.249515871226,42637.99407206218,3
43481.42290800847,42578.368416229525,3
43487.7120409084,42414.846994236905,3
43470.62190672771,42662.73210634225,3
43513.850286604385,42134.555221475544,4
43481.10806540855,42458.644612480595,4
43479.2618437417,42532.302815645395,4
43486.33145434751,42265.370227982596,4
43483.694981050234,42405.97435776569,4
43470.420250716124,42652.35159975442,4
43453.570367169494,42653.03009097885,4
43492.561873104845,42090.86067884139,5
43476.474594414074,42451.778283666434,5
43479.24126515346,42424.98035393832,5
43460.74232649494,42481.7340259366,5
43464.13237553637,42463.87102730977,5
43457.69224664094,42588.8873558066,5
43443.76173001413,42603.61908953789,5
43441.22948572097,42632.239744988095,5
43451.019873401485,42592.154972645476,5
43398.302554458765,42651.67491000799,5
43481.95721921996,42034.40230407795,6
43481.09421583769,42074.54961088057,6
43478.741959727944,42275.07297124181,6
43478.25552941033,42354.459337592285,6
43473.729426294485,42376.357324140954,6
43461.77104886655,42377.63502644449,6
43456.772819655125,42380.994895648335,6
43456.07340950887,42569.9175156651,6
43414.61474958783,42622.88740995552,6
43434.223720166745,42594.57680595638,6
43447.52410083814,42572.9413224945,6
43476.09562324879,42178.083798494445,7
43476.31419116647,41875.22871045144,7
43473.929695438084,42185.51678511781,7
43470.92030391013,42190.12786056888,7
43465.89065096727,42334.49876829204,7
43458.0139795447,42361.17906935005,7
43451.03364149623,42528.927940505375,7
43451.267209913334,42414.19034722678,7
43297.67453194093,42615.072610518044,7
43419.94380897457,42593.644133462076,7
43473.32429249685,41996.59943125376,8
43469.29757122387,42174.04247660503,8
43464.85015060668,42251.47071459696,8
43462.985045760055,42313.18073640595,8
43436.35666566854,42496.500168478844,8
43435.48113139292,42514.15166721567,8
43437.95393459742,42466.71252681947,8
43440.7184324009,42434.03902897822,8
43442.41557626291,42423.934570289486,8
43432.030392609886,42518.10079282881,8
43445.01985680832,42371.48553200578,8
43450.2432363314,42322.792784366284,8
43446.15781892374,42359.92650721597,8
43364.53556582013,42583.057715810864,8
43417.22463506427,42547.5998678881,8
43374.462740861585,42566.7361135981,8
43394.671587936966,42556.79937752353,8
43404.8517107582,42552.103781019745,8
43356.253828881025,42571.96135621966,9
43471.75196111372,41379.42357663088,9
43445.65145444296,42041.57212940914,9
43383.51634362522,42553.16564247092,9
43441.3069011923,42384.4714793802,9
43406.15322443321,42544.270161159846,9
43423.77758909281,42512.88734858328,9
43414.61553759181,42536.777466209416,9
